Status,Reason To Go,Reason To Go - Category,Reason To Go - All Tags,Reason Not To Go,Reason Not To Go - Category,Reason Not To Go - All Tags,What Would Help
No,,,,My granddaughter went to Thailand last year so we wanted Drake to have the experience too.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,"My daughter, and my sister-in-law went as a parent builder last year.",Previous Positive Experience,Previous Positive Experience,,,,
Yes,"Knowing past parent builders, chance to spend time with my daughter (busy/demanding job) and a chance to return to my mission",Wanted Shared Experience with Child,Wanted Shared Experience with Child; Faith / Service Motivation,,,,
No,,,,,,,
No,,,,My child didn't really want me to go. She wanted to experience it on her own!,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
No,,,,"Time, money, and other kids at home",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Only the price,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,"My son wants to do it on his own, and the cost.",Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,other obligations at this time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Other Children at Home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I couldn't leave my family,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I wanted my daughter to have the experience of going and not knowing anyone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Have younger kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Time off work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My wife is going. I don't have enough time off from work to be able to go.,Work Schedule / Time Off,Work Schedule / Time Off; Another Family Member Going Instead,
No,,,,Time commitment with small children at home,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
Yes,Location and HXP asked me.,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,I want my child to have their own experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,My son asked me to go,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
Yes,I've heard great things from our neighbors who've taken their kids on trips. I really wanted our children to have amazing experiences too.,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,My daughter needs the experience without me. But I would love to go!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"Cost, no significant discount to attend as a Parent Builder",Cost / Finances,Cost / Finances,
Yes,Child was worried about traveling alone,Love of Travel / Culture,Love of Travel / Culture,,,,
No,,,,I have other children and obligations.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Son is graduating,Other Life Commitment,Other Life Commitment,
No,,,,,,,
Yes,My daughter and her excitement for the trip,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,I went before and it's just too long to be away from work and disconnected at this phase of life and my career.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Child wanted individual trip, cost",Cost / Finances,Cost / Finances,
No,,,,Builder needs experience away from family and friends.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
Yes,I really wanted to go with my son and have a great experience serving with him in another part of the world. I wished we had made it a priority to go last year so I could go with another younger son this year. We have neighbors that have taken their kids on multiple trips and they've spoken highly of it.,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Previous Positive Experience,,,,
No,,,,My child didn't want me to 😂,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,Cousins that have gone.,Another Family Member Going Instead,Another Family Member Going Instead,
